M,N,K
512,3072,1536
512,576,7168
512,4096,512
512,7168,2048
512,4608,7168
512,7168,2304
512,512,7168
512,7168,256
512,256,7168
1,1536,7168
1,3072,1536
1,576,7168
1,4096,512
1,7168,2048
1,4608,7168
1,7168,2304
1,512,7168
1,7168,256
1,256,7168
4096,1536,7168
4096,3072,1536
4096,576,7168
4096,4096,512
4096,7168,2048
4096,4608,7168
4096,7168,2304
4096,512,7168
4096,7168,256
4096,256,7168
2048,1536,7168
2048,3072,1536
2048,576,7168
2048,4096,512
32768,256,7168
16384,1536,7168
16384,3072,1536
16384,576,7168
16384,4096,512
16384,7168,2048
16384,4608,7168
16384,7168,2304
16384,512,7168
16384,7168,256
16384,256,7168
8,1536,7168
8,3072,1536
8,576,7168
8,4096,512
8,7168,2048
8,4608,7168
8,7168,2304
8,512,7168
8,7168,256
8,256,7168
65536,1536,7168
65536,3072,1536
65536,576,7168
65536,4096,512
65536,7168,2048
65536,4608,7168
65536,7168,2304
65536,512,7168
65536,7168,256
65536,256,7168
32,1536,7168
32,3072,1536
32,576,7168
2,1536,7168
4,1536,7168
128,1536,7168
256,1536,7168
1049,1536,7168
2093,1536,7168
29130,1536,7168
2,3072,1536
4,3072,1536
128,3072,1536
256,3072,1536
1049,3072,1536
2093,3072,1536
29130,3072,1536
2,4096,512
4,4096,512
128,4096,512
256,4096,512
1049,4096,512
2093,4096,512
29130,4096,512
2,7168,2048
4,7168,2048
128,7168,2048
256,7168,2048
1049,7168,2048
2093,7168,2048
29130,7168,2048
2,4608,7168
4,4608,7168
128,4608,7168
256,4608,7168
1049,4608,7168
2093,4608,7168
29130,4608,7168
2,7168,2304
4,7168,2304
128,7168,2304
256,7168,2304
1049,7168,2304
2093,7168,2304
29130,7168,2304
2,512,7168
4,512,7168
128,512,7168
256,512,7168
1049,512,7168
2093,512,7168
29130,512,7168
2,7168,256
4,7168,256
128,7168,256
256,7168,256
1049,7168,256
2093,7168,256
29130,7168,256
1049,8192,1536
2093,8192,1536
29130,8192,1536
1049,8192,7168
2093,8192,7168
29130,8192,7168
1049,1536,8192
2093,1536,8192
29130,1536,8192
256,2112,7168
256,24576,1536
256,512,128
256,128,512
256,7168,16384
256,4096,7168
256,7168,2048
256,256,7168
64,4096,7168
64,7168,2048
288,2112,7168
288,24576,1536
288,512,128
288,128,512
288,7168,16384
288,4096,7168
288,7168,2048
288,256,7168
72,4096,7168
72,7168,2048
320,2112,7168
320,24576,1536
320,512,128
320,128,512
320,7168,16384
320,4096,7168
320,7168,2048
320,256,7168
80,4096,7168
80,7168,2048
352,2112,7168
352,24576,1536
352,512,128
352,128,512
352,7168,16384
352,4096,7168
352,7168,2048
352,256,7168
88,4096,7168
88,7168,2048
384,2112,7168
384,24576,1536
384,512,128
384,128,512
384,7168,16384
384,4096,7168
384,7168,2048
384,256,7168
96,4096,7168
96,7168,2048
416,2112,7168
416,24576,1536
416,512,128
416,128,512
416,7168,16384
416,4096,7168
416,7168,2048
416,256,7168
104,4096,7168
104,7168,2048
448,2112,7168
448,24576,1536
448,512,128
448,128,512
448,7168,16384
448,4096,7168
448,7168,2048
448,256,7168
112,4096,7168
112,7168,2048
480,2112,7168
480,24576,1536
480,512,128
480,128,512
480,7168,16384
480,4096,7168
480,7168,2048
480,256,7168
120,4096,7168
120,7168,2048
512,2112,7168
512,24576,1536
512,512,128
512,128,512
512,7168,16384
512,4096,7168
512,7168,2048
512,256,7168
128,4096,7168
128,7168,2048
544,2112,7168
544,24576,1536
544,512,128
544,128,512
544,7168,16384
544,4096,7168
544,7168,2048
544,256,7168
136,4096,7168
136,7168,2048
